StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,3588sTS.Human.Heart.CS13.Male,0.036118327,2.719842278,0.089961616,0.059555028,0.033893066,0.172851795
StrandedData,5818sTS.Human.Heart.226dpb.Male,0.056885501,1.347566244,1.225023517,0.114855419,0.040372981,0.817901454
StrandedData,5850sTS.Human.Heart.6dpb.Male,0.042614791,1.014297762,0.289288096,0.125268184,0.028250029,0.303112423
StrandedData,5944sTS.Human.Ovary.13w.Female,0.037576553,1.480903216,0.055626701,0.073398855,0.031170874,0.15796033
StrandedData,2113sTS.Human.Heart.11w.Male,0.037984384,1.049950692,0.098963661,0.080313836,0.038945795,0.187305472
StrandedData,3775sTS.Human.Testis.12w.Male,0.055630412,2.612728952,0.20989407,0.152256207,0.048411239,0.283533483
StrandedData,3643sTS.Human.Heart.11w.Female,0.039706794,1.173412053,0.096518566,0.091672203,0.033086095,0.191531669
StrandedData,5843sTS.Human.Heart.0dpb.Female,0.050553517,1.827519459,0.450954137,0.132170512,0.041692997,0.422176344
StrandedData,3644sTS.Human.Ovary.11w.Female,0.04337535,2.180997702,0.093948632,0.093685442,0.039140116,0.194237765
StrandedData,5573sTS.Human.Cerebellum.58ypb.Male,0.047968634,4.232698993,0.074404116,0.094278398,0.05084302,0.207701541
StrandedData,5523sTS.Human.Testis.270dpb.Male,0.049701881,3.690794343,0.088434499,0.094514405,0.050038843,0.210897967
StrandedData,2089sTS.Human.Hindbrain.CS18.Male,0.038062394,1.52431751,0.072133143,0.091843574,0.031815565,0.168492238
StrandedData,5658sTS.Human.Heart.16w.Female,0.02867132,1.216502519,0.058553904,0.06155684,0.022242986,0.13046035
StrandedData,6103sTS.Human.Kidney.6mpb.Female,0.049191446,2.813361353,0.14684496,0.227766109,0.050177747,0.269186395
StrandedData,5557sTS.Human.Brain.53ypb.Male,0.061639561,3.640356011,0.08203777,0.116456351,0.060180074,0.20255243
StrandedData,5640sTS.Human.Liver.5w.Female,0.036862862,2.684218172,0.094843495,0.090954832,0.031766932,0.178127329
StrandedData,5783sTS.Human.Heart.19w.Female,0.033089392,1.180916923,0.059459825,0.081387943,0.029206017,0.138738367
StrandedData,5652sTS.Human.Testis.16w.Male,0.065992697,2.07276991,0.098709947,0.122348219,0.066580629,0.196163344
StrandedData,5951sTS.Human.Forebrain.16w.Male,0.030865544,1.777564575,0.056750044,0.064931691,0.027086981,0.157674141
