Sample	Gene	TPM
v1_nomultiseg_5661sTS_Human_Kidney_16w_Female_nomultiseg_bam	ADAR	210.120450105145
v1_nomultiseg_5662sTS_Human_Kidney_18w_Female_nomultiseg_bam	ADAR	192.622039101148
v1_nomultiseg_5664sTS_Human_Forebrain_10w_Female_nomultiseg_bam	ADAR	180.50442271354
v1_nomultiseg_5665sTSm_Human_Forebrain_16w_Female_nomultiseg_bam	ADAR	181.815176154044
v1_nomultiseg_5667sTS_Human_Forebrain_18w_Male_nomultiseg_bam	ADAR	166.80694757372
v1_nomultiseg_5668sTS_Human_Brain_20w_Male_nomultiseg_bam	ADAR	154.480308111309
v1_nomultiseg_5669sTS_Human_Hindbrain_16w_Female_nomultiseg_bam	ADAR	186.000184958895
v1_nomultiseg_5670sTS_Human_Hindbrain_13w_Male_nomultiseg_bam	ADAR	176.670025155978
v1_nomultiseg_5671sTS_Human_Hindbrain_16w_Male_nomultiseg_bam	ADAR	172.13550793533
v1_nomultiseg_5673sTS_Human_Ovary_16w_Female_nomultiseg_bam	ADAR	161.466557527544
v1_nomultiseg_5674sTS_Human_Ovary_18w_Female_nomultiseg_bam	ADAR	190.678625602679
v1_nomultiseg_5675sTS_Human_Kidney_7w_Male_nomultiseg_bam	ADAR	169.509563618126
v1_nomultiseg_5676sTS_Human_Kidney_CS23_Male_nomultiseg_bam	ADAR	194.245298029363
v1_nomultiseg_5677sTS_Human_Ovary_10w_Female_nomultiseg_bam	ADAR	188.48539470438
v1_nomultiseg_5678sTS_Human_Liver_10w_Female_nomultiseg_bam	ADAR	149.891036339461
v1_nomultiseg_5679sTS_Human_Heart_10w_Female_nomultiseg_bam	ADAR	121.108013060541
v1_nomultiseg_5680sTS_Human_Kidney_9w_Male_nomultiseg_bam	ADAR	190.318744901708
v1_nomultiseg_5687sTS_Human_Kidney_16w_Male_nomultiseg_bam	ADAR	194.072454229451
v1_nomultiseg_5688sTS_Human_Kidney_18w_Male_nomultiseg_bam	ADAR	199.056039856708
v1_nomultiseg_5694sTS_Human_Testis_16w_Male_nomultiseg_bam	ADAR	257.138352072575
v1_nomultiseg_5696sTS_Human_Heart_13w_Male_nomultiseg_bam	ADAR	146.682183766978
v1_nomultiseg_5697sTS_Human_Kidney_13w_Female_nomultiseg_bam	ADAR	215.232554315245
v1_nomultiseg_5698sTS_Human_Kidney_16w_Male_nomultiseg_bam	ADAR	235.493052205865
v1_nomultiseg_5700sTS_Human_Heart_16w_Male_nomultiseg_bam	ADAR	203.710271946728
v1_nomultiseg_5701sTS_Human_Heart_16w_Male_nomultiseg_bam	ADAR	148.013848268161
